name,number,reference,citation,dvalue,newk,newknum,refage,D_K,nD_K,D_nK,nD_nK
construction_engineering,5104,17.694,20.08,0.182,0.484,0.765,-9.983,-10.238,-9.663,-10.925,-10.018
andrology,32131,31.426,36.508,0.016,0.333,0.491,-9.669,-10.998,-9.598,-12.363,-9.65
quantum_mechanics,170375,23.351,32.95,0.058,0.11,0.145,-12.059,-14.807,-10.851,-17.286,-11.862
aeronautics,9896,13.011,19.142,0.151,0.375,0.562,-10.443,-10.545,-10.191,-11.307,-10.429
cancer_research,229104,42.389,55.782,0.013,0.132,0.168,-6.737,-7.043,-6.651,-7.214,-6.743
process_management,22708,25.357,34.39,0.102,0.301,0.445,-7.956,-7.438,-7.705,-7.823,-8.104
ancient_history,15309,31.16,18.832,0.135,0.29,0.424,-17.838,-20.185,-17.344,-20.593,-17.46
molecular_biology,671549,36.699,43.116,0.017,0.099,0.121,-7.362,-8.593,-7.335,-8.071,-7.35
physiology,38928,39.219,43.84,0.028,0.428,0.687,-10.576,-13.312,-10.493,-12.956,-10.51
radiology,206242,23.981,27.477,0.019,0.177,0.226,-9.056,-9.493,-9.111,-10.097,-9.023
biological_system,18430,32.983,42.948,0.038,0.593,1.05,-10.032,-9.981,-9.967,-9.661,-10.146
process_engineering,35842,22.503,29.271,0.138,0.293,0.398,-10.019,-10.98,-9.905,-10.363,-9.946
public_relations,168535,31.048,46.961,0.075,0.136,0.165,-10.312,-9.643,-9.921,-9.573,-10.44
botany,727012,29.521,34.702,0.024,0.14,0.18,-12.199,-16.136,-12.812,-15.468,-12.004
nuclear_medicine,84373,24.798,40.441,0.019,0.277,0.382,-8.248,-9.535,-8.378,-9.462,-8.166
finance,85884,29.703,64.392,0.046,0.175,0.243,-10.376,-8.942,-9.628,-9.154,-10.605
public_economics,41543,28.983,40.905,0.053,0.269,0.363,-10.285,-9.147,-9.905,-9.631,-10.483
gynecology,160874,24.946,29.339,0.055,0.171,0.225,-9.389,-11.785,-10.252,-10.427,-9.123
petroleum_engineering,46499,18.81,22.024,0.148,0.209,0.285,-13.007,-12.807,-12.155,-13.156,-13.216
software_engineering,48763,18.77,34.33,0.093,0.221,0.305,-6.571,-6.442,-6.339,-6.791,-6.618
environmental_economics,18635,23.296,35.392,0.106,0.351,0.533,-8.025,-7.472,-8.553,-7.762,-7.808
surgery,1339734,23.056,41.947,0.024,0.082,0.094,-10.109,-10.794,-9.915,-10.95,-10.105
intensive_care_medicine,288257,35.292,38.204,0.029,0.152,0.192,-8.321,-8.968,-8.652,-8.289,-8.258
data_science,35207,30.761,47.289,0.075,0.379,0.577,-7.672,-8.011,-7.887,-7.665,-7.525
discrete_mathematics,221674,16.928,32.097,0.016,0.102,0.128,-12.355,-11.803,-10.436,-13.951,-12.548
