name,number,reference,citation,dvalue,newk,newknum,refage,D_K,nD_K,D_nK,nD_nK
computer_graphics_images,131862,20.305,32.029,0.166,0.146,0.181,-7.643,-8.356,-7.855,-7.589,-7.596
forestry,28574,24.759,23.942,0.069,0.374,0.624,-12.231,-13.04,-12.181,-13.62,-12.124
computer_architecture,14156,18.526,33.59,0.099,0.318,0.468,-5.947,-5.784,-5.618,-6.484,-6.049
meteorology,113978,25.678,40.89,0.033,0.163,0.21,-10.576,-11.449,-10.255,-11.516,-10.599
radiochemistry,40715,15.648,21.104,0.073,0.277,0.388,-10.578,-11.679,-9.911,-12.326,-10.661
art_history,13244,18.91,18.974,0.225,0.304,0.484,-17.969,-18.693,-17.232,-19.818,-17.656
civil_engineering,17220,16.039,21.188,0.154,0.382,0.571,-10.665,-11.021,-10.675,-11.368,-10.492
arithmetic,23975,15.821,25.858,0.149,0.331,0.512,-8.974,-7.828,-9.429,-7.754,-9.058
religious_studies,6653,24.18,17.761,0.203,0.312,0.479,-16.859,-17.966,-16.075,-18.775,-16.596
computational_biology,44512,51.806,65.919,0.042,0.343,0.502,-6.783,-6.992,-6.759,-6.778,-6.791
chemical_engineering,271775,21.701,28.546,0.147,0.079,0.091,-8.981,-9.782,-9.61,-8.626,-8.977
business_administration,1751,26.495,30.917,0.169,0.444,0.891,-9.683,-8.974,-9.736,-8.61,-9.995
industrial_engineering,8462,21.511,30.941,0.098,0.552,0.953,-9.35,-9.879,-9.302,-8.921,-9.374
development_economics,69102,25.75,33.503,0.111,0.182,0.23,-10.245,-10.895,-10.23,-10.194,-10.235
